pmid,year_enr,journal_title,journal_iso,sjr,sjr_quartile,year,n_tokens,n_unique_unigrams,n_unique_bigrams,n_mesh,n_mesh_pairs,n_new_unigrams,n_new_bigrams,n_new_mesh,n_new_mesh_pairs,share_new_unigrams,share_new_bigrams,share_new_mesh,share_new_mesh_pairs,examples_new_unigrams,examples_new_bigrams,examples_new_mesh
25548087,2015,Journal of applied gerontology : the official journal of the Southern Gerontological Society,J Appl Gerontol,0.885,Q1,2015,99,72,89,16,120,8,70,3,53,0.1111111111111111,0.7865168539325843,0.1875,0.4416666666666666,daily-diary; day-to-day; gps; multi-method; multilevel; occasion-specific; out-of-home; weekday,adults cognitive; adults different; adults showed; age appears; aggregate level; appears impact; approach gps; basis mci,Geographic Information Systems; Geriatric Psychiatry; Mobility Limitation
25548086,2015,Journal of applied gerontology : the official journal of the Southern Gerontological Society,J Appl Gerontol,0.885,Q1,2015,100,66,88,18,153,9,71,4,70,0.1363636363636363,0.8068181818181818,0.2222222222222222,0.457516339869281,automatized; concrete; confounders; demanding; gathered; gps; out-of-home; sentra,activities high; activities particularly; activities showed; adults aged; adults different; adults findings; automatized walking; behavior cognitive,Geographic Information Systems; Geriatric Psychiatry; Mobility Limitation; Walking
23857871,2015,Asia-Pacific psychiatry : official journal of the Pacific Rim College of Psychiatrists,Asia Pac Psychiatry,0.461,Q2,2015,104,57,75,10,45,5,54,1,10,0.087719298245614,0.72,0.1,0.2222222222222222,boxes; incontinence; rating-sum; urge; urinary,adjustment different; aimed evaluate; associated clinical; barthel activities; boxes barthel; boxes global; characteristics patients; common elderly,Urinary Incontinence
26154755,2015,Journal of the Formosan Medical Association = Taiwan yi zhi,J Formos Med Assoc,0.729,Q2,2015,134,88,125,17,136,9,97,1,47,0.1022727272727272,0.776,0.0588235294117647,0.3455882352941176,aor; carriage; check-ups; cisd2; haplotype-tagging; htsnps; rs223330; rs223331,accumulation beta-amyloid; addition hypertension; addition inhibition; aging gene; aimed explore; animals addition; aor addition; aor confidence,Taiwan
25529594,2015,Applied neuropsychology. Adult,Appl Neuropsychol Adult,0.514,Q3,2015,162,118,155,8,28,15,134,0,2,0.1271186440677966,0.864516129032258,0.0,0.0714285714285714,alexia; apraxia; bases; cognition-focused; educated; exercises; grant; moments,abilities learning; abilities study; across moments; affected resulting; alexia spatial; approach highly; approaches patients; apraxia alexia,
25529589,2015,Applied neuropsychology. Adult,Appl Neuropsychol Adult,0.514,Q3,2015,133,77,108,12,66,9,78,0,2,0.1168831168831168,0.7222222222222222,0.0,0.0303030303030303,additions; attempting; construct-consistent; neurologic; rbans; retention; short-term; stepwise,accuracy rbans; addition construct; additions provided; assessed comparing; attempting identify; attention visuoconstruction; comparable neuropsychological; comparing patients,
24652914,2015,Journal of applied gerontology : the official journal of the Southern Gerontological Society,J Appl Gerontol,0.885,Q1,2015,76,58,70,13,78,8,57,1,21,0.1379310344827586,0.8142857142857143,0.0769230769230769,0.2692307692307692,aerobic; cycling; dad; inventory-caregiver; mixed; npi-q; repeated-measures; single-group,adas-cog dad; adas-cog disability; adults mild-to-moderate; aerobic exercise; affects alzheimer; alzheimer symptoms; analyzed mixed; appears effective,Exercise Therapy
24652910,2015,Journal of applied gerontology : the official journal of the Southern Gerontological Society,J Appl Gerontol,0.885,Q1,2015,86,61,78,9,36,12,75,3,27,0.1967213114754098,0.9615384615384616,0.3333333333333333,0.75,agencies; consenting; enroll; evidence-based; fit; oversight; rdad; realities,activities experiences; activities selecting; agencies implement; best fit; challenges growing; challenges program; community setting; community-based program,"Evidence-Based Practice; Health Promotion; Translational Research, Biomedical"
24652902,2015,Journal of applied gerontology : the official journal of the Southern Gerontological Society,J Appl Gerontol,0.885,Q1,2015,78,48,68,10,45,8,58,3,28,0.1666666666666666,0.8529411764705882,0.3,0.6222222222222222,accepted; examples; ideas; inspiration; misinformation; promotion; reluctant; suffered,accepted health; adults challenges; aging physicians; ago screening; associated memory; awareness early; cancer screening; cancer strategies,Attitude to Health; Health Promotion; Primary Health Care
24652899,2015,Journal of applied gerontology : the official journal of the Southern Gerontological Society,J Appl Gerontol,0.885,Q1,2015,101,66,92,11,55,7,73,0,9,0.106060606060606,0.7934782608695652,0.0,0.1636363636363636,appraisals; composite; education-only; fostering; incorporated; mixed; supportive,appraisals provide; assessment resources; benefits maintain; burden fostering; caregivers overall; caregivers perceived; caregivers stress; caregiving improving,
25538123,2016,"Dementia (London, England)",Dementia (London),1.285,Q1,2016,97,80,91,11,55,25,81,3,30,0.3125,0.8901098901098901,0.2727272727272727,0.5454545454545454,acceptance; access; adjudication; anglophones; appearances; calgary; canada; candidacy,acceptance resistance; access diagnosis; adjudication providers; analysis candidacy; anglophones calgary; appearances services; appropriate medical; calgary francophones,Canada; Health Services Accessibility; Patient Navigation
25476006,2016,"Dementia (London, England)",Dementia (London),1.285,Q1,2016,87,75,83,6,15,16,74,0,1,0.2133333333333333,0.891566265060241,0.0,0.0666666666666666,accepted; accepting; assistance; cared; depicts; discontinuity; feels; gives,accepted important; accepting change; analysis focus; assist woman; assistance instrumental; attempt remain; becoming cared; care essential,
25425445,2016,"Dementia (London, England)",Dementia (London),1.285,Q1,2016,88,63,80,10,45,5,72,0,11,0.0793650793650793,0.9,0.0,0.2444444444444444,accepting; enjoying; helped; inclusiveness; thematically,accepting coping; activities developed; alzheimer society; analysed thematically; attending singing; based group; behavioural functioning; benefits singing,
25814404,2015,Brain stimulation,Brain Stimul,2.402,Q1,2015,162,97,147,14,91,14,126,3,38,0.1443298969072164,0.8571428571428571,0.2142857142857142,0.4175824175824176,atrophied; circuit; circuit-wide; counteracts; dbs; deformation-based; expansions; fornix,across dbs; activity dbs; activity within; addition modulating; applied fornix; assess one-year; atrophied present; atrophy neurodegenerative,"Deep Brain Stimulation; Fornix, Brain; Glucose"
25747405,2015,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry,Am J Geriatr Psychiatry,1.581,Q1,2015,140,87,122,12,66,11,102,0,6,0.1264367816091954,0.8360655737704918,0.0,0.0909090909090909,anti-ad; california; completers; ethnically; exam; nincds-adra; non-latino; propensity,according usual; analyses applied; analyses techniques; anti-ad drugs; apparently benefit; assess factors; associated donepezil; average year,
25725942,2015,Neurobiology of aging,Neurobiol Aging,2.352,Q1,2015,111,62,96,12,66,13,85,1,36,0.2096774193548387,0.8854166666666666,0.0833333333333333,0.5454545454545454,boost; contraindicate; dna-immunized; immunizations; immunized; immunosenescence; intradermal; noninflammatory,aged animal; aged dna; aged mice; aging immune; although found; antibodies dna; antibodies without; antibody levels,T-Lymphocytes
25712639,2015,Pharmacological reports : PR,Pharmacol Rep,0.807,Q2,2015,143,119,138,13,78,12,109,2,47,0.1008403361344537,0.7898550724637681,0.1538461538461538,0.6025641025641025,acknowledged; amyloidal; centered; d-aspartate; decelerate; definite; inspired; intricacies,achieve definite; acknowledged progressive; adult life; advances field; amyloidal protein; aspects disease; aspects pathophysiological; authors will,"Drugs, Investigational; Molecular Targeted Therapy"
25669145,2015,Clinical pharmacology and therapeutics,Clin Pharmacol Ther,1.842,Q1,2015,59,47,55,8,28,11,47,3,21,0.2340425531914893,0.8545454545454545,0.375,0.75,agency; camd; coalition; ddt; dosing; ema; expedite; inefficacy,advanced clinical; agency ema; attributable inadequate; camd formed; camd led; coalition major; cts tool; ddt expedite,Drug Approval; Europe; United States Food and Drug Administration
25659857,2015,Neurobiology of aging,Neurobiol Aging,2.352,Q1,2015,115,76,100,19,171,12,79,4,78,0.1578947368421052,0.79,0.2105263157894736,0.4561403508771929,amsterdam; csf-tau; endophenotype; genotype-endophenotype; haplotype; haplotype-based; rs11218340-a; rs2070045-g,additionally haplotype-based; allele related; alleles genotype-endophenotype; amsterdam dementia; amyloid-beta total; analyses association; approach included; association haplotype,Amides; LDL-Receptor Related Proteins; Membrane Transport Proteins; Phosphoric Acids
25655033,2015,International journal of neural systems,Int J Neural Syst,1.32,Q1,2015,108,87,103,14,91,11,91,1,27,0.1264367816091954,0.883495145631068,0.0714285714285714,0.2967032967032967,applicable; capturing; concisely; electroence; methodology; multiscale; patient-specific; phalography,additional results; aimed characterize; allows extract; analysis applicable; analysis reveals; applicable longitudinal; approach combined; approach complex,Nerve Net
25619662,2015,Neurobiology of aging,Neurobiol Aging,2.352,Q1,2015,150,99,138,13,78,25,123,5,51,0.2525252525252525,0.8913043478260869,0.3846153846153846,0.6538461538461539,angiogenesis; astroglia; auxiliary; blockers; calcium; cav1; collagen-iv-stained; halo,adult alzheimer; age-matched wild-type; alzheimer mice; alzheimer transgenic; angiogenesis cortical; angiogenesis potentiated; around beta-amyloid; associated beta-amyloid,"Calcium Channel Blockers; Calcium Channels, L-Type; Neovascularization, Pathologic; RNA, Messenger; Substance P"
25619661,2015,Neurobiology of aging,Neurobiol Aging,2.352,Q1,2015,149,109,143,11,55,16,118,1,21,0.146788990825688,0.8251748251748252,0.0909090909090909,0.3818181818181818,anti-tau; antibody-based; cautionary; chose; documented; e2-treatment; engage; immunized,active brains; addition lack; administration anti-tau; advanced clinical; age-dependent spatial; among j20; anti-tau antibodies; anti-tau antibody-based,"Antibodies, Monoclonal"
25616912,2015,Neurobiology of aging,Neurobiol Aging,2.352,Q1,2015,107,78,98,13,78,15,86,3,42,0.1923076923076923,0.8775510204081632,0.2307692307692307,0.5384615384615384,atomic; biopanning; combines; demonstrating; diversity; isolate; isolation; libraries,ages neurofibrillary; antibody fragments; antibody libraries; approach developing; atomic force; bind oligomeric; bind toxic; binding diversity,Immunoglobulin Variable Region; Peptide Library; Protein Aggregates
25616451,2015,Epilepsy research,Epilepsy Res,0.963,Q2,2015,170,107,147,21,210,24,127,8,144,0.2242990654205607,0.8639455782312925,0.3809523809523809,0.6857142857142857,asc; ascorbic; co-occurring; crossing; diminished; epilepsy; hemorrhage; hyperkeratosis,accelerate cognitive; acid addition; acid decreased; acid deficiency; acid due; acid ictal; acid increased; acid increases,"Ascorbic Acid; Ascorbic Acid Deficiency; Electrodes, Implanted; Kainic Acid; Malondialdehyde"
25610788,2015,NeuroImage. Clinical,Neuroimage Clin,1.845,Q1,2015,181,109,164,12,66,11,143,1,21,0.1009174311926605,0.8719512195121951,0.0833333333333333,0.3181818181818182,avoid; closed; counting; deterministic; exploits; eyes; fitting; innovative,accuracies achieved; achieved resting; activity due; ad-specific model; age-matched participants; aging mild; analysis capture; analysis develop,Scalp
25610772,2015,NeuroImage. Clinical,Neuroimage Clin,1.845,Q1,2015,150,96,126,13,78,3,88,1,16,0.03125,0.6984126984126984,0.0769230769230769,0.2051282051282051,aibl; cut-off; retention,accumulation basal; addition cluster; adni australian; aibl cohort; aibl studies; amci subjects; amyloid burden; amyloid-beta plaques,Basal Forebrain
