pmid,year,n_tokens,n_unique_unigrams,n_unique_bigrams,n_mesh,n_mesh_pairs,n_new_unigrams,n_new_bigrams,n_new_mesh,n_new_mesh_pairs,share_new_unigrams,share_new_bigrams,share_new_mesh,share_new_mesh_pairs,examples_new_unigrams,examples_new_bigrams,examples_new_mesh
26627706,2016,168,106,146,17,136,26,134,4,89,0.24528301886792453,0.9178082191780822,0.23529411764705882,0.6544117647058824,acid-induced; activator; app695; diets; differentially; dmgs; dmrs; folate-deficient,absence effective; acid alters; acid gene; acid jak-stat; acid mol; acid supplementation; acid up-regulated; acid-induced dmgs,"Cell Line, Tumor; Janus Kinases; Long-Term Synaptic Depression; STAT Transcription Factors"
26611835,2016,159,104,146,13,78,23,122,2,40,0.22115384615384615,0.8356164383561644,0.15384615384615385,0.5128205128205128,cis; clathrin; cochran; controversial; funnel; phosphatidylinositol; plots; protein-associated,allele rs3851179; among included; analyses implemented; assembly protein; assess heterogeneity; associated databases; associated decreased; associated four,"Models, Genetic; Publication Bias"
26611832,2016,112,78,106,18,153,12,88,2,74,0.15384615384615385,0.8301886792452831,0.1111111111111111,0.48366013071895425,accordingly; adjacent; ank1; ankyrin; cpg; dominant; hypermethylated; neuropathology,accordingly ank1; adjacent cpg; adjusting age; age-matched healthy; allele adjusting; allele rs515071; ank1 gene; ank1 late-onset,Ankyrins; Demography
26558630,2016,218,140,191,17,136,28,170,4,87,0.2,0.8900523560209425,0.23529411764705882,0.6397058823529411,act; appswe; bace1; belong; biogenesis; c-jun; coactivator-1; deficient,accompanied reduction; act mediators; addition protein; affecting cognitive; alterations amyloidogenic; amyloidogenic pathway; animals furthermore; animals indicates,Gene Expression Profiling; Glial Fibrillary Acidic Protein; Heterozygote; Mitogen-Activated Protein Kinase 8
26537901,2016,118,91,113,7,21,15,106,1,10,0.16483516483516483,0.9380530973451328,0.14285714285714285,0.47619047619047616,adenosine; atp; bioenergetic; carries; coupling; dinucleotide; electrons; i-iv,additional integral; adenosine triphosphate; affected furthermore; agents organized; altered alzheimer; apparent mitochondria; area research; atp additional,Electron Transport
26510741,2016,129,96,126,14,91,18,101,7,72,0.1875,0.8015873015873016,0.5,0.7912087912087912,autophagy; becn1; belonged; cdkn2a; clu; clusterin; cytoscape; integrator,additionally genes; alterations phase; altered blood; analysis cytoscape; analyzed detected; analyzed whole; autophagy mitochondria; becn1 cdkn2a,Beclin-1; Cyclin-Dependent Kinase Inhibitor p16; Cyclin-Dependent Kinase Inhibitor p18; Gene Expression Profiling; Gene Regulatory Networks
26337250,2016,149,82,125,22,231,18,97,3,134,0.21951219512195122,0.776,0.13636363636363635,0.5800865800865801,ad-cei; antidiabetic; c-reactive; crp; dm-oad; enzyme-linked; factor-alpha; geriatr,ad-cei dm-oad; ad-cei group; ad-cei treatment; ad-cei without; age-matched control; agents dm-oad; aim present; antidiabetic agents,C-Reactive Protein; Interleukin-6; Tumor Necrosis Factor-alpha
27504690,2016,101,71,91,5,10,19,83,2,7,0.2676056338028169,0.9120879120879121,0.4,0.7,act; analytic; family-centered; filial; firo; geographic; guided; intensify,abilities expressions; act filial; affected family; among family; analytic induction; around care; based abilities; based geographic,Family Relations; Occupational Therapy
27419676,2015,61,41,52,3,3,3,44,1,2,0.07317073170731707,0.8461538461538461,0.3333333333333333,0.6666666666666666,creative; csm; mobilization,activate memories; alzheimer member; approach creative; categories emerged; consequences alzheimer; creative sensitive; csm participation; development process,Family Relations
27345793,2016,75,52,66,18,153,22,58,7,131,0.4230769230769231,0.8787878787878788,0.3888888888888889,0.8562091503267973,body-based; c-myc; embryoid; embryonic; episomal; germ; integration-free; l-myc,based expression; body-based differentiation; c-myc l-myc; cell line; cell types; cells employing; cells male; cells retained,Cell Differentiation; Cellular Reprogramming; DNA Mutational Analysis; Embryoid Bodies; Induced Pluripotent Stem Cells
